"DataStream_x","DataStream_y"
0,0,
1,6.3814,
2,10.5963,
3,8.885,
4,8.6144,
5,8.3563,
6,7.799,
7,7.2987,
8,6.4874,
9,5.6584,
10,7.4873,
11,8.4487,
12,9.4406,
13,8.1018,
14,7.6864,
15,8.202,
16,6.2228,
17,7.9928,
18,7.0852,
19,7.9753,
20,7.4401,
21,8.0237,
22,6.367,
23,8.6185,
24,8.4488,
25,10.1999,
26,9.1986,
27,10.0049,
28,7.6033,
29,8.3924,
30,7.6397,
31,11.0843,
32,9.8969,
33,8.0359,
34,8.3696,
35,8.0869,
36,10.7987,
37,7.5438,
38,7.7834,
39,5.8446,
40,5.9827,
41,6.7854,
42,6.4997,
43,8.4667,
44,6.0428,
45,5.9432,
46,6.756,
47,6.1816,
48,6.9968,
49,6.4369,
50,8.1507,
51,7.4604,
52,6.0478,
53,6.9098,
54,6.8442,
55,6.741,
56,9.9483,
57,8.6047,
58,7.431,
59,7.2754,
60,7.5871,
61,7.5342,
62,8.6371,
63,8.8619,
64,8.1092,
65,9.4799,
66,7.9439,
67,7.275,
68,10.005,
69,9.5274,
70,7.7552,
71,7.5095,
72,7.4876,
73,7.3945,
74,7.9397,
75,6.9864,
76,7.9572,
77,6.8998,
78,9.8757,
79,7.6234,
80,12.0107,
81,11.8587,
82,8.0688,
83,13.4094,
84,10.0459,
85,8.1754,
86,8.513,
87,8.0657,
88,11.923,
89,7.9379,
90,9.1469,
91,7.9295,
92,8.8424,
93,9.7837,
94,8.3746,
95,7.9436,
96,8.3753,
97,7.7358,
98,8.8633,
99,9.6528,
100,8.7521,
101,9.4511,
102,8.9113,
103,10.5339,
104,8.0261,
105,12.5733,
106,9.2084,
107,9.2718,
108,8.5782,
109,8.7592,
110,10.5859,
111,12.5332,
112,9.4546,
113,8.2425,
114,9.0659,
115,11.8927,
116,10.5989,
117,9.2807,
118,9.4733,
119,11.3775,
120,11.4756,
121,8.145,
122,9.5633,
123,8.8218,
124,10.0353,
125,11.6236,
126,8.4366,
127,9.8613,
128,8.3555,
129,9.8626,
130,11.9172,
131,8.8068,
132,9.5088,
133,10.3519,
134,16.1021,
135,10.8981,
136,9.302,
137,10.4489,
138,16.5871,
139,13.6451,
140,10.6638,
141,9.7129,
142,10.9416,
143,10.6815,
144,11.2022,
145,12.0519,
146,10.4831,
147,16.479,
148,16.0774,
149,10.695,
150,12.3178,
151,10.6672,
152,12.4722,
153,11.5534,
154,11.0203,
155,15.47,
156,15.2791,
157,65.4236,
158,85.5416,
159,69.5706,
160,86.8224,
161,16.2951,
162,13.6496,
163,11.5082,
164,10.101,
165,9.311,
166,8.9932,
167,14.0538,
168,9.4222,
169,12.9492,
170,9.7463,
171,8.6513,
172,9.7411,
173,10.3551,
174,12.132,
175,9.7317,
176,12.9306,
177,9.3764,
178,10.016,
179,9.6112,
180,13.2611,
181,11.2084,
182,9.9961,
183,9.2834,
184,10.6054,
185,16.5943,
186,9.4232,
187,9.3497,
188,9.2665,
189,10.1577,
190,9.2541,
191,8.9826,
192,9.2979,
193,9.1837,
194,9.5419,
195,8.6801,
196,9.7091,
197,8.9111,
198,9.3877,
199,10.8388,
200,15.9891,
201,9.969,
202,13.1014,
203,10.0903,
204,9.2632,
205,10.4181,
206,13.0162,
207,10.1475,
208,10.4574,
209,9.2621,
210,9.913,
211,8.8879,
212,9.6877,
213,10.1136,
214,9.1751,
215,9.5161,
216,9.0554,
217,9.9278,
218,9.6745,
219,14.128,
220,15.1307,
221,14.162,
222,11.0737,
223,9.7202,
224,10.4324,
