"DataStream_x","DataStream_y"
0,0,
1,6.3703,
2,6.9691,
3,7.6574,
4,4.1696,
5,3.1241,
6,3.4683,
7,8.1895,
8,4.6788,
9,2.5473,
10,4.5739,
11,4.2669,
12,2.9408,
13,2.9288,
14,4.2357,
15,3.5634,
16,3.9651,
17,3.1176,
18,4.565,
19,7.7146,
20,3.2655,
21,3.365,
22,4.5344,
23,4.6588,
24,3.564,
25,4.2611,
26,4.282,
27,4.6534,
28,4.2276,
29,3.8834,
30,4.0419,
31,4.2879,
32,3.8785,
33,8.1459,
34,5.9786,
35,5.3686,
36,3.5886,
37,3.1023,
38,4.4692,
39,4.627,
40,3.5116,
41,2.6643,
42,3.614,
43,4.1717,
44,2.802,
45,2.6012,
46,2.7556,
47,2.5971,
48,5.8006,
49,6.1802,
50,3.4179,
51,5.1314,
52,4.8188,
53,2.7242,
54,3.2857,
55,4.1284,
56,4.6392,
57,3.7175,
58,3.7044,
59,8.432,
60,6.0796,
61,3.9053,
62,5.4249,
63,2.982,
64,3.2599,
65,3.183,
66,5.3485,
67,3.2826,
68,3.7774,
69,4.4739,
70,7.1443,
71,6.5942,
72,4.6961,
73,4.2969,
74,3.1839,
75,3.1294,
76,4.7207,
77,4.2134,
78,3.8588,
79,3.3688,
80,4.4098,
81,4.3202,
82,3.7913,
83,3.2061,
84,4.6495,
85,3.5491,
86,4.6981,
87,4.3485,
88,10.3441,
89,4.6591,
90,5.286,
91,3.3233,
92,4.5574,
93,5.1249,
94,4.6472,
95,4.4389,
96,4.6213,
97,10.1585,
98,5.4801,
99,6.7107,
100,4.4348,
101,6.123,
102,4.3206,
103,3.7354,
104,4.7901,
105,6.3793,
106,5.897,
107,5.093,
108,6.5827,
109,4.1595,
110,4.8531,
111,4.1143,
112,4.1363,
113,3.3281,
114,6.7128,
115,8.2863,
116,3.2465,
117,5.7038,
118,3.93,
119,3.7623,
120,4.9556,
121,4.3869,
122,3.5949,
123,3.3852,
124,5.769,
125,6.7529,
126,4.2963,
127,4.55,
128,5.3757,
129,4.0552,
130,4.3157,
131,4.0004,
132,4.7015,
133,4.3777,
134,4.7007,
135,7.1906,
136,5.6137,
137,4.6486,
138,4.8267,
139,4.4494,
140,5.7675,
141,5.1807,
142,4.1911,
143,5.4165,
144,4.5036,
145,4.9019,
146,5.7328,
147,3.8839,
148,4.655,
149,4.9073,
150,7.2015,
151,6.4451,
152,4.3998,
153,4.8974,
154,5.3507,
155,6.2153,
156,4.2642,
157,3.923,
158,7.1702,
159,8.5259,
160,6.2646,
161,4.5174,
162,4.727,
163,6.3717,
164,3.8646,
165,3.7165,
166,4.5126,
167,7.2656,
168,9.0064,
169,8.3122,
170,4.3136,
171,5.9469,
172,6.2565,
173,4.7829,
174,7.7055,
175,9.4375,
176,6.0867,
177,5.9344,
178,6.2289,
179,6.3316,
180,4.7538,
181,5.7507,
182,8.8057,
183,6.2809,
184,4.6271,
185,7.0743,
186,4.6578,
187,5.2584,
188,6.4265,
189,5.1446,
190,7.0991,
191,8.4999,
192,5.9038,
193,7.1368,
194,4.5939,
195,4.5989,
196,6.9156,
197,8.1638,
198,7.0916,
199,4.6741,
200,4.7542,
201,6.7744,
202,4.9502,
203,4.7888,
204,6.1783,
205,5.2156,
206,5.0034,
207,6.4859,
208,7.7956,
209,6.3101,
210,5.7179,
211,5.2986,
212,5.6504,
213,5.9572,
214,5.2807,
215,6.352,
216,8.3226,
217,7.229,
218,5.9212,
219,5.8893,
220,5.6181,
221,5.9289,
222,5.7591,
223,9.0121,
224,6.2659,
225,5.828,
226,6.0469,
227,6.4536,
228,6.484,
229,5.5886,
230,7.2497,
231,7.4259,
232,5.6383,
233,6.2023,
234,5.8401,
235,5.5178,
236,6.2285,
237,6.3888,
238,9.8414,
239,7.0115,
240,6.8116,
241,7.188,
242,7.0715,
243,7.0879,
244,5.9069,
245,6.8888,
246,7.2816,
247,10.3335,
248,6.7954,
249,6.2254,
250,7.6578,
251,6.1144,
252,8.0469,
253,6.2987,
254,6.6242,
255,9.9986,
256,7.2892,
257,7.5779,
258,7.1527,
259,7.4894,
260,7.422,
261,7.7915,
262,11.2991,
263,8.5868,
264,6.7261,
265,7.4885,
266,7.7505,
267,7.1165,
268,6.8176,
269,9.7418,
270,7.1826,
271,7.4792,
272,7.6314,
