"DataStream_x","DataStream_y"
0,0,
1,8.3029,
2,9.0092,
3,4.9967,
4,3.972,
5,3.3531,
6,3.9359,
7,8.2122,
8,6.8465,
9,5.5302,
10,3.7503,
11,4.4519,
12,3.1842,
13,3.195,
14,3.4485,
15,3.4081,
16,3.0874,
17,4.3001,
18,5.7636,
19,5.0034,
20,3.2473,
21,3.3593,
22,3.5134,
23,3.9736,
24,4.4363,
25,3.7384,
26,3.6954,
27,4.2033,
28,5.8684,
29,6.295,
30,5.9182,
31,4.1699,
32,3.3662,
33,6.544,
34,4.1959,
35,3.58,
36,3.113,
37,5.2639,
38,4.454,
39,6.6529,
40,3.3064,
41,3.5318,
42,2.809,
43,2.9413,
44,2.443,
45,4.3088,
46,4.2494,
47,3.4556,
48,2.6534,
49,2.8589,
50,4.9309,
51,4.1478,
52,5.0265,
53,7.8329,
54,3.9187,
55,3.1752,
56,4.7464,
57,3.8219,
58,3.9651,
59,3.1183,
60,4.8844,
61,3.9647,
62,3.967,
63,4.6222,
64,4.0805,
65,3.3933,
66,7.9853,
67,4.828,
68,3.5944,
69,4.6052,
70,3.3787,
71,3.7755,
72,3.6971,
73,3.7964,
74,5.1961,
75,4.1018,
76,5.7475,
77,7.0888,
78,3.2836,
79,3.308,
80,3.5172,
81,4.0173,
82,4.2212,
83,3.8242,
84,3.2295,
85,3.8952,
86,5.5343,
87,4.0426,
88,6.5335,
89,5.6845,
90,3.6916,
91,4.619,
92,5.2545,
93,3.638,
94,3.7764,
95,4.5868,
96,4.6034,
97,3.4424,
98,4.1635,
99,4.8477,
100,7.5313,
101,4.5802,
102,6.0551,
103,4.5226,
104,3.7798,
105,4.4784,
106,4.8228,
107,3.961,
108,5.5756,
109,5.1744,
110,4.9693,
111,4.2043,
112,8.2086,
113,6.6015,
114,5.8352,
115,4.6932,
116,3.8924,
117,3.3531,
118,5.6436,
119,4.4272,
120,3.8668,
121,7.5427,
122,5.2403,
123,4.7007,
124,4.1969,
125,6.1398,
126,5.0268,
127,4.4109,
128,4.52,
129,5.0162,
130,4.932,
131,3.529,
132,3.3748,
133,4.4347,
134,6.2686,
135,4.4343,
136,4.4996,
137,6.3073,
138,7.247,
139,5.3363,
140,5.1754,
141,5.3387,
