"DataStream_x","DataStream_y"
0,0,
1,6.027,
2,11.653,
3,19.8446,
4,11.5586,
5,7.5377,
6,7.115,
7,8.0142,
8,9.1378,
9,14.9307,
10,7.9455,
11,9.4669,
12,7.8526,
13,9.8059,
14,14.1189,
15,8.5843,
16,9.1863,
17,7.8963,
18,8.35,
19,7.5137,
20,9.8929,
21,10.0867,
22,8.8289,
23,9.1271,
24,9.8221,
25,12.4554,
26,10.9333,
27,11.0521,
28,11.363,
29,10.8071,
30,10.6341,
31,9.9188,
32,10.6047,
33,10.1265,
34,12.5073,
35,9.6163,
36,9.8716,
37,8.6339,
38,9.0448,
39,10.4147,
40,10.5248,
41,8.4587,
42,8.27,
43,8.6916,
44,7.5126,
45,8.355,
46,8.1253,
47,8.7007,
48,11.4616,
49,8.1465,
50,7.8789,
51,8.5073,
52,7.7782,
53,10.0205,
54,9.0641,
55,8.1951,
56,8.1705,
57,9.6661,
58,7.9085,
59,8.1056,
60,8.4792,
61,11.4773,
62,8.5542,
63,8.4533,
64,8.6534,
65,9.7227,
66,15.9623,
67,11.0997,
68,9.4006,
69,9.5273,
70,11.7873,
71,10.6494,
72,10.2436,
73,9.1193,
74,11.3122,
75,10.5187,
76,8.5611,
77,9.1474,
78,8.6482,
79,9.5223,
80,9.1529,
81,13.2976,
82,9.3206,
83,9.1934,
84,9.2147,
85,9.2698,
86,13.2276,
87,9.8454,
88,9.9194,
89,10.7356,
90,13.9668,
91,10.6596,
92,10.3582,
93,10.3766,
94,14.5805,
95,12.3998,
96,10.0524,
97,10.1498,
98,9.4883,
99,9.9756,
100,9.4112,
101,9.9577,
102,10.1,
103,9.4408,
104,9.8295,
105,10.0449,
106,10.4757,
107,10.5474,
108,10.0703,
109,11.0502,
110,18.5851,
111,10.8021,
112,10.2239,
113,10.8189,
114,13.062,
115,9.0055,
116,10.0391,
117,12.6399,
118,9.7683,
119,9.982,
120,9.3775,
121,9.7109,
122,9.7182,
123,17.5742,
124,10.0606,
125,15.2737,
126,10.5993,
127,10.1155,
128,10.5555,
129,10.4928,
130,10.0966,
131,10.947,
132,10.2458,
133,10.664,
134,10.5454,
135,9.7567,
136,10.4977,
137,10.395,
138,12.7198,
139,17.2532,
140,10.5335,
141,10.4122,
142,10.5419,
143,10.8819,
144,10.9063,
145,10.3256,
146,11.4635,
147,15.7298,
148,13.554,
149,10.441,
150,11.2545,
151,11.0775,
152,10.1979,
153,10.6325,
154,13.1118,
155,11.0989,
156,10.8957,
157,10.623,
158,13.2626,
159,12.4018,
160,11.9984,
161,11.6235,
162,11.5149,
163,11.7644,
164,11.6574,
165,17.4903,
166,11.4762,
167,14.2684,
168,12.278,
169,11.5354,
170,10.9816,
171,11.095,
172,11.0793,
173,10.8677,
174,11.3134,
175,11.1123,
176,11.119,
177,11.6648,
178,13.6959,
179,17.4272,
180,12.5908,
181,12.8532,
182,12.2118,
183,11.9929,
184,11.8306,
185,11.7803,
186,11.7775,
187,11.6029,
188,11.2819,
189,13.3577,
190,12.7526,
191,11.6745,
192,11.6587,
193,14.846,
194,12.3237,
195,12.2975,
196,12.4841,
197,12.599,
198,20.43,
199,14.3248,
200,14.6731,
201,13.3329,
202,13.4975,
203,12.6481,
204,12.2082,
205,12.6754,
206,12.6622,
207,15.4055,
208,13.252,
209,13.1116,
210,16.3234,
211,13.6496,
212,13.9376,
213,13.6027,
214,13.6322,
215,13.3167,
216,14.1061,
217,15.2593,
218,15.3305,
219,13.3489,
220,13.1195,
221,14.3589,
222,21.5171,
223,13.5115,
224,14.8137,
225,16.955,
226,16.6485,
227,14.7723,
228,13.9453,
229,14.1947,
230,14.0195,
231,14.4556,
232,13.5987,
233,14.7389,
234,12.822,
235,18.5497,
236,15.5789,
237,13.4818,
238,13.8563,
239,15.8071,
240,13.1169,
241,13.298,
242,13.0988,
243,13.1474,
244,14.2457,
245,13.4757,
246,12.8973,
247,13.004,
248,13.0754,
249,12.9931,
250,18.6394,
251,13.3503,
252,13.2534,
253,21.4979,
254,14.9018,
255,13.7769,
256,13.6582,
257,14.4956,
258,13.8987,
259,13.7723,
260,13.9727,
261,13.6086,
262,13.4024,
263,13.6773,
264,21.1114,
265,13.435,
266,16.9201,
267,17.3579,
268,14.763,
269,14.8982,
270,14.3971,
271,14.5357,
272,14.7296,
273,14.3775,
274,14.5838,
275,14.4582,
276,14.4535,
277,18.8536,
278,16.9624,
279,17.2965,
